model_name,trainable_parameters,validation_accuracy,final_loss,seconds_per_epoch,loss_curve
fp32,18907140,0.19791666666666666,1.576721986134847,0.4914917499991134,"[11.817039834128487, 3.286594099468655]"
lora,299012,1.0,0.052512197444836296,20.78729569999996,"[1.0800902512338426, 0.08449606607771581]"
qlora,299012,1.0,0.05253086114923159,0.4680332999996608,"[1.0795532200071547, 0.0850836844700906]"
