name,mean_absolute_difference,max_absolute_difference,relative_error
fp16,9.927567589329556e-05,0.0005002021789550781,0.00012375555525068194
int4,0.01997656375169754,0.09708372503519058,0.024788720533251762
lora,9.927567589329556e-05,0.0005002021789550781,0.00012375555525068194
qlora,0.01997656375169754,0.09708372503519058,0.024788720533251762
